name,position,team,vfm,value,pts,month_pts,week_pts,status,description,returns
"Fletcher, Darren",MID,MUN,2.5,2.0,5,0.0,0.0,,,
"Campbell, Joel",STR,ARS,1.0,3.0,3,0.0,0.0,,,
"Walker, Kyle",DEF,TOT,-0.25,4.0,-1,-2.0,-2.0,,,
"Lampard, Frank",MID,MCY,23.33,3.0,70,8.0,8.0,,,
"Boruc, Artur",GK,SOT,0.0,3.0,0,0.0,0.0,Unavailable,Joined Bournemouth on loan from 19/9 until January.  Deal extended until the end of the season on 31/12.,24/05/2015
"Sanchez, Alexis",STR,ARS,25.33,6.0,152,0.0,-1.0,,,
"Podolski, Lukas",STR,ARS,6.25,4.0,25,0.0,0.0,Doubtful,Missed the 2-0 defeat to Southampton.,11/01/2015
"Taylor-Fletcher, Gary",STR,LEI,0.0,1.0,0,0.0,0.0,,,
"Mertesacker, Per",DEF,ARS,6.91,5.5,38,-1.0,-1.0,,,
"Courtois, Thibaut",GK,CHE,12.73,5.5,70,-4.0,-4.0,,,
"Sanchez, Carlos",MID,AVL,17.5,2.0,35,2.0,7.0,,,
"Can, Emre",MID,LIV,8.0,2.0,16,0.0,0.0,,,
"Markovic, Lazar",MID,LIV,5.67,3.0,17,0.0,0.0,,,
"Negredo, Alvaro",STR,MCY,0.0,5.0,0,0.0,0.0,Unavailable,Joined Valencia on season-long loan deal,25/05/2015
"Jones, Phil",DEF,MUN,4.67,4.5,21,0.0,5.0,,,
"Azpilicueta, Cesar",DEF,CHE,9.82,5.5,54,-4.0,-4.0,,,
"Flanagan, Jon",DEF,LIV,0.0,3.0,0,0.0,0.0,Injured,"Sent home from club's summer tour of US with problem. Ruled out ""for a number of months"" on 18/9 after undergoing surgery.",Unknown
"Chadli, Nacer",MID,TOT,32.8,2.5,82,8.0,10.0,,,
"Fernandez, Federico",DEF,SWA,14.8,2.5,37,0.0,-3.0,,,
"Debuchy, Mathieu",DEF,ARS,5.78,4.5,26,-1.0,1.0,,,
"Nugent, David",STR,LEI,13.33,1.5,20,8.0,11.0,,,
"Wisdom, Andre",DEF,WBA,18.0,1.5,27,0.0,-1.0,,,
"Jones, David",MID,BUR,28.0,1.0,28,3.0,6.0,,,
"Sturridge, Daniel",STR,LIV,2.17,6.0,13,0.0,0.0,Injured,Set for scans after sustaining problem during training on 18/11. Club confirmed the following day he is set for another period on the sidelines.,17/01/2015
"Altidore, Jozy",STR,SUN,2.67,1.5,4,0.0,0.0,,,
"Okore, Jores",DEF,AVL,26.67,1.5,40,5.0,10.0,,,
"Fer, Leroy",MID,QPR,14.8,2.5,37,8.0,10.0,,,
"Henderson, Jordan",MID,LIV,14.86,3.5,52,0.0,3.0,,,
"Kebe, Jimmy",MID,CRY,0.0,1.5,0,0.0,0.0,,,
Fernandinho,MID,MCY,8.89,4.5,40,3.0,8.0,,,
"Zamora, Bobby",STR,QPR,12.67,1.5,19,0.0,3.0,,,
"Valencia, Enner",STR,WHM,11.0,3.0,33,3.0,6.0,,,
"Olsson, Jonas",DEF,WBA,1.0,2.0,2,0.0,0.0,Injured,Expected to return in mid January after undergoing surgery.,10/01/2015
"Duff, Michael",DEF,BUR,18.0,1.0,18,0.0,0.0,,,
"Smalling, Chris",DEF,MUN,5.14,3.5,18,0.0,5.0,,,
"Walcott, Theo",MID,ARS,0.4,5.0,2,0.0,0.0,,,
"Skrtel, Martin",DEF,LIV,4.4,5.0,22,0.0,2.0,,,
"Vaz Te, Ricardo",STR,WHM,2.0,1.5,3,0.0,0.0,,,
"Simpson, Danny",DEF,LEI,0.0,1.5,0,-1.0,6.0,,,
"Chamakh, Marouane",STR,CRY,2.67,1.5,4,0.0,0.0,Injured,Sustained in the encounter with Stoke on 13/12 which saw him forced off on 75 minutes.,10/01/2015
"Ivanovic, Branislav",DEF,CHE,14.5,6.0,87,-4.0,-4.0,,,
"Remy, Loic",STR,CHE,7.5,4.0,30,0.0,0.0,,,
"Borini, Fabio",STR,LIV,-1.0,3.0,-3,0.0,0.0,,,
"Campbell, Fraizer",STR,CRY,10.5,2.0,21,0.0,0.0,,,
"Ledley, Joe",MID,CRY,16.67,1.5,25,2.0,4.0,,,
"Trippier, Kieran",DEF,BUR,39.0,1.0,39,0.0,2.0,,,
"Distin, Sylvain",DEF,EVE,3.14,3.5,11,0.0,-2.0,,,
"van Aanholt, Patrick",DEF,SUN,-2.0,1.5,-3,0.0,0.0,,,
"Johnson, Andrew",STR,CRY,0.0,1.0,0,0.0,0.0,,,
"Shackell, Jason",DEF,BUR,14.67,1.5,22,-2.0,0.0,,,
"Krul, Tim",GK,NEW,12.0,3.0,36,0.0,0.0,Injured,"Picked up problem in training ahead of 29/11 game against West Ham. Ruled out ""for the next four or five games"" by Alan Pardew on 29/11.",26/12/2014
"Torres, Fernando",STR,CHE,0.0,4.0,0,0.0,0.0,,,
"Nolan, Kevin",MID,WHM,6.33,3.0,19,0.0,0.0,,,
"Ozil, Mesut",MID,ARS,2.55,5.5,14,0.0,0.0,Injured,Reports on 8/10 suggest he could be sidelined for 10-12 weeks.,Unknown
"Chiriches, Vlad",DEF,TOT,6.57,3.5,23,0.0,5.0,,,
"Cissokho, Aly",DEF,AVL,34.67,1.5,52,5.0,13.0,,,
"Cabella, Remy",MID,NEW,9.2,2.5,23,0.0,0.0,,,
"McGeady, Aiden",MID,EVE,10.4,2.5,26,0.0,0.0,,,
"Mutch, Jordon",MID,QPR,0.5,2.0,1,0.0,0.0,,,
"Pienaar, Steven",MID,EVE,2.0,3.0,6,0.0,0.0,Injured,"Still a couple of weeks away from match fitness, confirmed Roberto Martinez on 30/12.",17/01/2015
"Kightly, Michael",MID,BUR,15.0,1.0,15,3.0,3.0,,,
"Pelle, Graziano",STR,SOT,43.0,2.0,86,3.0,2.0,,,
