name,team,salary,pts/salary,week_pts,total_pts,6week_pts
"Caulker, S",Queens Park Rangers,2.9,14.5,2.0,42.0,23
"Amat, J",Swansea City,2.3,6.5,0.0,15.0,0
"Arfield, S",Burnley,2.9,13.8,2.0,40.0,14
"Remy, L",Chelsea,5.4,4.1,0.0,22.0,9
"Cazorla, S",Arsenal,5.2,13.8,2.0,72.0,44
"Taylor, N",Swansea City,2.4,25.0,2.0,60.0,23
"Mee, B",Burnley,2.3,12.6,-1.0,29.0,10
"Figueroa, M",Hull City,2.7,0.0,0.0,0.0,0
"Dzeko, E",Manchester City,6.2,4.8,0.0,30.0,1
"Lambert, R",Liverpool,5.8,5.5,1.0,32.0,19
"Gilks, M",Burnley,1.7,0.0,0.0,0.0,0
"Blanco, S",West Bromwich Albion,2.8,0.7,0.0,2.0,0
"Matic, N",Chelsea,4.3,10.7,2.0,46.0,16
"Emnes, M",Swansea City,3.7,2.2,1.0,8.0,3
"Cork, J",Southampton,3.0,11.7,0.0,35.0,3
"Bigirimana, G",Newcastle United,2.7,0.0,0.0,0.0,0
"Isgrove, L",Southampton,2.5,0.4,0.0,1.0,0
"Hunt, J",Crystal Palace,2.3,0.0,0.0,0.0,0
"Chiriches, V",Tottenham Hotspur,3.4,3.5,0.0,12.0,9
"Poyet, D",West Ham United,2.7,1.1,0.0,3.0,0
"Fer, L",Queens Park Rangers,3.0,19.0,7.0,57.0,30
"Flanagan, J",Liverpool,3.2,0.0,0.0,0.0,0
"van Persie, R",Manchester United,7.2,11.5,2.0,83.0,48
"Pantilimon, C",Sunderland,2.7,12.6,0.0,34.0,31
"Ferreyra, F",Newcastle United,4.5,0.0,0.0,0.0,0
"Olsson, J",West Bromwich Albion,2.7,2.6,0.0,7.0,0
"Doyle, K",Crystal Palace,3.7,0.8,0.0,3.0,0
"Gardner, G",Aston Villa,2.6,0.0,0.0,0.0,0
"Richardson, K",Aston Villa,2.6,13.5,0.0,35.0,9
"Carroll, T",Swansea City,2.5,4.8,0.0,12.0,6
"Azpilicueta, C",Chelsea,4.3,14.4,-2.0,62.0,33
"McGregor, A",Hull City,2.7,15.6,6.0,42.0,27
"Milner, J",Manchester City,3.7,12.2,1.0,45.0,24
"Eriksen, C",Tottenham Hotspur,4.2,19.3,5.0,81.0,45
"Lampard, F",Manchester City,4.0,11.2,6.0,45.0,25
"Jakupovic, E",Hull City,1.7,5.3,0.0,9.0,0
"Soldado, R",Tottenham Hotspur,5.2,4.4,0.0,23.0,16
"Vokes, S",Burnley,3.7,0.3,0.0,1.0,1
"Bacuna, L",Aston Villa,2.7,3.0,2.0,8.0,5
"Barkley, R",Everton,3.8,8.7,2.0,33.0,20
"Moore, L",Leicester City,2.0,6.0,0.0,12.0,1
"Nzonzi, S",Stoke City,3.5,14.3,2.0,50.0,26
"Coloccini, F",Newcastle United,3.0,11.3,0.0,34.0,3
"Hutton, A",Aston Villa,2.2,22.3,6.0,49.0,30
"Wasilewski, M",Leicester City,2.2,8.2,0.0,18.0,16
"Kaboul, Y",Tottenham Hotspur,2.7,8.9,0.0,24.0,0
"Cabella, R",Newcastle United,3.4,10.3,0.0,35.0,10
"Taylor, R",Newcastle United,2.8,1.1,0.0,3.0,2
"Morrison, J",West Bromwich Albion,3.5,11.4,2.0,40.0,16
"Clark, C",Aston Villa,2.8,11.4,2.0,32.0,29
"Ledley, J",Crystal Palace,3.2,11.6,2.0,37.0,21
"Mutch, J",Queens Park Rangers,3.0,6.0,0.0,18.0,7
"Long, K",Burnley,2.2,0.5,1.0,1.0,1
"Duff, M",Burnley,2.4,10.8,0.0,26.0,2
"Shawcross, R",Stoke City,3.1,18.4,7.0,57.0,26
"McCarthy, J",Everton,3.7,7.6,0.0,28.0,4
"Jones, P",Manchester United,3.7,6.8,2.0,25.0,15
"Sagna, B",Manchester City,4.2,3.8,0.0,16.0,8
"McShane, P",Hull City,2.2,4.5,0.0,10.0,0
"Dawson, C",West Bromwich Albion,2.4,17.5,0.0,42.0,9
Adrian,West Ham United,2.6,17.7,2.0,46.0,23
"Atsu, C",Everton,2.9,1.4,0.0,4.0,1
"Januzaj, A",Manchester United,3.9,3.8,1.0,15.0,2
"Cisse, P",Newcastle United,4.8,13.8,0.0,66.0,36
"McGeady, A",Everton,3.6,10.0,0.0,36.0,12
"Abeid, M",Newcastle United,2.9,0.7,0.0,2.0,2
"Valencia, E",West Ham United,4.7,11.5,1.0,54.0,9
"Shackell, J",Burnley,2.6,16.9,2.0,44.0,19
"Ireland, S",Stoke City,2.9,2.4,0.0,7.0,1
"Jelavic, N",Hull City,5.0,12.0,7.0,60.0,28
"King, A",Leicester City,2.9,6.9,0.0,20.0,6
"O'Neill, L",Burnley,2.0,0.0,0.0,0.0,0
"Sakho, D",West Ham United,3.8,18.7,7.0,71.0,23
"Coleman, S",Everton,4.1,11.7,1.0,48.0,14
"Sterling, R",Liverpool,4.8,16.0,2.0,77.0,26
"Kettings, C",Crystal Palace,1.6,0.0,0.0,0.0,0
"Distin, S",Everton,3.3,3.9,0.0,13.0,9
"Moncur, G",West Ham United,2.5,0.0,0.0,0.0,0
"Wilson, J",Manchester United,3.0,3.0,0.0,9.0,6
"Walters, J",Stoke City,4.7,10.9,2.0,51.0,26
"Palacios, W",Stoke City,2.7,0.0,0.0,0.0,0
"Assou-Ekotto, B",Tottenham Hotspur,2.4,0.0,0.0,0.0,0
"Dyer, N",Swansea City,3.4,14.7,2.0,50.0,18
"Garvan, O",Crystal Palace,2.8,0.0,0.0,0.0,0
"Osman, L",Everton,3.5,8.6,0.0,30.0,11
"Anita, V",Newcastle United,2.8,4.6,0.0,13.0,2
"Cameron, G",Stoke City,3.0,9.0,2.0,27.0,21
"Silva, D",Manchester City,5.6,12.0,2.0,67.0,32
"Dier, E",Tottenham Hotspur,3.3,11.8,0.0,39.0,10
"Dorrans, G",West Bromwich Albion,2.9,15.9,2.0,46.0,16
"Hesketh, J",Southampton,2.6,0.0,0.0,0.0,0
"Ward-Prowse, J",Southampton,3.0,11.7,5.0,35.0,20
"Sagbo, Y",Hull City,3.6,0.6,0.0,2.0,2
"Ulloa, L",Leicester City,3.8,19.7,1.0,75.0,30
"Bardsley, P",Stoke City,2.8,10.7,0.0,30.0,4
"Clichy, G",Manchester City,4.1,14.9,10.0,61.0,39
"Stevens, E",Aston Villa,2.1,0.0,0.0,0.0,0
"Targett, M",Southampton,2.1,3.8,0.0,8.0,5
"Diaby, A",Arsenal,3.0,0.0,0.0,0.0,0
"Teixeira, D",Stoke City,2.4,0.0,0.0,0.0,0
"Browning, T",Everton,2.1,1.4,0.0,3.0,0
"Sanchez, A",Arsenal,7.0,14.7,2.0,103.0,37
"Ospina, D",Arsenal,3.3,0.0,0.0,0.0,0
"Junior, F",Everton,2.5,0.0,0.0,0.0,0
"Ward, S",Burnley,2.1,4.8,0.0,10.0,6
"Barnes, A",Burnley,2.8,17.5,2.0,49.0,34
"Benteke, C",Aston Villa,5.5,5.6,2.0,31.0,27
"James, R",Manchester United,2.0,0.0,0.0,0.0,0
"Okore, J",Aston Villa,2.5,9.6,6.0,24.0,24
"Heaton, T",Burnley,2.4,19.6,0.0,47.0,21
"Rooney, W",Manchester United,6.8,11.9,5.0,81.0,48
"Courtois, T",Chelsea,3.8,15.5,-2.0,59.0,31
"Cleverley, T",Aston Villa,3.3,8.8,2.0,29.0,14
"Donnelly, R",Swansea City,2.5,0.0,0.0,0.0,0
"Wallace, R",Burnley,2.8,5.0,0.0,14.0,4
"Gardos, F",Southampton,3.0,5.7,3.0,17.0,8
"Gomis, B",Swansea City,4.0,6.2,2.0,25.0,9
"Rosicky, T",Arsenal,3.2,3.8,2.0,12.0,9
"Toure, K",Liverpool,2.9,7.9,1.0,23.0,20
"Reid, S",Burnley,2.3,4.3,1.0,10.0,4
"Mikel, J",Chelsea,3.0,6.3,0.0,19.0,10
"Mahrez, R",Leicester City,2.8,18.9,5.0,53.0,32
"Trippier, K",Burnley,2.4,20.0,-1.0,48.0,19
"McArthur, J",Crystal Palace,3.3,9.7,2.0,32.0,20
"Mavrias, C",Sunderland,2.6,0.0,0.0,0.0,0
"Cissokho, A",Aston Villa,2.5,21.2,6.0,53.0,30
"Montero, J",Swansea City,3.4,11.2,0.0,38.0,15
"Gibbs, K",Arsenal,3.9,10.0,1.0,39.0,12
"Santon, D",Newcastle United,3.0,0.0,0.0,0.0,0
"Smalling, C",Manchester United,3.7,7.6,2.0,28.0,24
"Dummett, P",Newcastle United,2.2,17.3,-3.0,38.0,9
"Falcao, R",Manchester United,6.9,6.1,7.0,42.0,23
