home,away
Arsenal FC,Stoke City
Burnley FC,QPR
Chelsea FC,Newcastle Utd.
Crystal Palace,Spurs
Everton,Manchester City
Leicester City,Aston Villa
Manchester Utd.,Southampton FC
Sunderland AFC,Liverpool FC
Swansea City,West Ham Utd.
West Brom,Hull City
