injury,returns,name
LCL Knee Ligament Injury,2 Days,"Ozil, M"
Calf/Shin Injury,1 week,"Dzeko, E"
Knock,no date,"Vlaar, R"
Calf/Shin Injury,1 week,"Sanogo, Y"
Calf Muscle Strain,1 week,"Arteta, M"
Calf/Shin Injury,1 week,"Lamela, E"
Ankle/Foot Injury,1 week,"Stones, J"
Knee Injury,5 Months,"Snodgrass, R"
Ankle/Foot Injury,2 Weeks,"Cork, J"
Groin/Pelvis Injury,1 week,"Podolski, L"
Calf Muscle Strain,1 week,"Kompany, V"
Concussion ,2 Days,"Bridcutt, L"
Knee Injury,2 Days,"Hesketh, J"
Hamstring Injury,no date,"Young, A"
Broken Leg,no date,"KozÃ¡k, L"
Knee Injury,no date,"Flanagan, J"
ACL Knee Injury,4 Weeks,"Rodriguez, J"
Calf/Shin Injury,1 week,"Olsson, J"
Ankle/Foot Injury,1 week,"Clyne, N"
Groin/Pelvis Injury,no date,"Taarabt, A"
Knee Injury,no date,"Gnabry, S"
Knee Injury,1 week,"Ranieri, S"
ACL Knee Injury,6 Months,"Odemwingie, P"
Groin/Pelvis Injury,no date,"Valencia, A"
Ankle/Foot Injury,no date,"Teixiera, D"
Calf/Shin Injury,no date,"Taylor, S"
Knock,no date,"Drinkwater, D"
Knee Injury,1 week,"Gallagher, S"
Groin/Pelvis Injury,no date,"Ramirez, G"
Hamstring Injury,no date,"Mason, R"
MCL Knee Ligament Injury,2 Weeks,"Aguero, S"
MCL Knee Ligament Injury,1 week,"Westwood, A"
Calf Muscle Strain,no date,"Diaby, V"
Groin Strain,2 Weeks,"Johnson, G"
Knock,no date,"Flamini, M"
Hamstring Injury,no date,"Chamakh, M"
Hamstring Injury,no date,"Rosenior, L"
Calf/Shin Injury,1 week,"Duff, M"
Knee Injury,no date,"Long, K"
Hamstring Injury,1 week,"McCarthy, J"
Ankle/Foot Injury,no date,"Yun, S"
Calf/Shin Injury,no date,"Gardner, C"
Calf/Shin Injury,no date,"Shackell, J"
Hamstring Injury,2 Days,"Ramsey, A"
Hamstring Injury,4 Weeks,"Aarons, R"
Thigh Muscle Strain,no date,"Nastasić, M"
Ankle/Foot Injury,no date,"Thorpe, T"
Ankle/Foot Injury,1 week,"Abeid, M"
Hip/Thigh Injury,no date,"Obertan, G"
Calf/Shin Injury,3 Weeks,"Senderos, P"
Knee Injury,1 week,"Ireland, S"
Knock,no date,"King, A"
ACL Knee Injury,7 Months,"Faurlin, A"
Hip/Thigh Injury,no date,"Lallana, A"
Ankle/Foot Injury,no date,"Robertson, A"
Back Injury,no date,"Sakho, D"
Knee Injury,1 week,"Gibson, D"
Dislocated Shoulder,1 week,"Van Aanholt, P"
Hamstring Injury,2 Weeks,"Dawson, M"
MCL Knee Ligament Injury,1 week,"Blind, D"
Hip/Thigh Injury,2 Weeks,"Elliott, R"
Knee Injury,4 Weeks,"Diame, M"
Knee Injury,2 Weeks,"Pienaar, S"
Illness,1 week,"Marney, D"
Knee Injury,1 week,"Allen, J"
Calf/Shin Injury,no date,"Hammond, D"
Ankle/Foot Injury,8 Weeks,"Wilshere, J"
Calf/Shin Injury,no date,"Osman, L"
Knee Injury,5 Days,"Baker, N"
Fractured Rib,1 week,"Fellaini, M"
Metatarsal Fracture,2 Weeks,"Schmeichel, K"
Knee Injury,4 Weeks,"Ameobi, S"
Hip/Thigh Injury,1 week,"Di Maria, A"
Thigh Muscle Strain,2 Weeks,"Moses, V"
Knee Injury,1 week,"Sidwell, S"
Knock,no date,"Dorrans, G"
Knock,1 week,"Pocognoli, S"
Knee Injury,1 day,"Taylor, R"
Ankle/Foot Injury,1 week,"Krul, T"
Knock,2 Days,"Mane, S"
Hip/Thigh Injury,4 Weeks,"Sturridge, D"
Ankle/Foot Injury,no date,"Ward, S"
Groin/Pelvis Injury,no date,"Cattermole, L"
Groin/Pelvis Injury,no date,"Good, C"
Muscular Injury ,2 Weeks,"Hibbert, T"
Hamstring Injury,1 week,"Krkic, B"
Calf Muscle Strain,1 week,"Reveillere, A"
Calf/Shin Injury,1 week,"Taylor, M"
Knock,no date,"Vergini, S"
Ankle/Foot Injury,no date,"Mirallas, K"
Hip/Thigh Injury,no date,"Jones, B"
Knock,2 Days,"Delaney, D"
Knock,2 Days,"McArthur, J"
Calf/Shin Injury,6 Weeks,"Howard, T"
Thigh Muscle Strain,1 week,"Rojo, M"
Groin/Pelvis Injury,1 week,"Anichebe, V"
Hamstring Injury,4 Weeks,"Montero, J"
Hip/Thigh Injury,1 week,"Welbeck, D"
Thigh Muscle Strain,4 Weeks,"De Jong, S"
